School name,Mens Conv score,Womens Conv score,Lat,Long
University of Connecticut,764.55,735.9,41.8077414,-72.2539805
Cornell University,761.8,718.05,42.4534492,-76.4735027
Dartmouth College,722.75,747.7,43.7044406,-72.2886935
Davidson College,722.35,689.25,35.5008018,-80.8446725
University of Delaware,687.3,687.1,39.6779504,-75.7506114
University of Denver,803.65,774.35,39.6766174,-104.9618965
Drexel University,737.45,711.95,39.9566127,-75.1899441
Duke University,806.55,822.45,36.0014258,-78.9382286
Duquesne University,738,738,40.4367914,-79.989232
East Carolina University,783.65,726.95,35.6111056,-77.4086614
Eastern Illinois University,652.5,605.4,39.483727,-88.1750904
Eastern Michigan University,780.6,780.6,42.2506803,-83.624089
University of Evansville,677.45,646.25,37.9733172,-87.5318644
Fairfield University,639.65,683,41.1588424,-73.2573886
Fairleigh Dickinson University,449.5,287.51,40.8980104,-74.0306633
University of Florida,888.4,853.65,29.6436325,-82.3549302
Florida Atlantic University,705.3,711.55,30.4268567,-80.1010633
Florida Gulf Coast University,764.25,764.25,26.4637116,-81.7752618
Florida International University,779.8,779.8,25.7561275,-80.3768786
Florida State University,831.1,808.05,30.4418778,-84.2984889
Fordham University,690.9,736.75,40.8620404,-73.8856987
Gardner–Webb University,690.1,666.85,35.2475249,-81.6706979
George Mason University,736,691.4,38.8298118,-77.3073606
George Washington University,766.75,747.1,38.8997145,-77.0485992
Georgetown University,729.1,704.9,38.9076089,-77.0722585
University of Georgia,852.75,861.1,33.9480053,-83.3773221
Georgia Institute of Technology,837.05,770.45,33.7756178,-84.396285
Georgia Southern University,681.5,681.5,32.4205489,-81.7865347
Grand Canyon University,808.95,696.8,33.5100339,-112.1288588
Harvard University,861.95,807.05,42.3770029,-71.1166601
University of Hawaii at Manoa,787.9,788.6,21.296939,-157.8171118
College of the Holy Cross,607.2,640.4,42.2392391,-71.8079608
University of Houston,796.8,796.8,29.7199489,-95.3422334
Howard University,601.15,595,38.9226843,-77.0194377
University of Idaho,711.1,711.1,46.7288124,-117.0126084
University of Illinois at Chicago,718.7,663.5,41.8696074,-87.6496218
Illinois State University,686.4,686.4,40.5120479,-88.9931683
University of Illinois at Urbana–Champaign,730.45,730.45,40.1019523,-88.2271615
University of the Incarnate Word,742,679,29.4675939,-98.4676217
Indiana University,908.1,858.3,39.1754487,-86.512627
Indiana State University,706.05,706.05,39.4714449,-87.4082752
Indiana University – Purdue University Indianapolis,719.35,714.9,39.7743174,-86.1764194
Iona College,680,630.75,40.9251499,-73.7879857
University of Iowa,807.2,759.2,41.6627078,-91.5549771
Iowa State University,737.1,737.1,42.0266573,-93.6464516
James Madison University,751.2,751.2,38.435092,-78.8697548
University of Kansas,146.78,774.2,38.9543439,-95.2557961
University of Kentucky,817.9,848.45,38.0306511,-84.5039697
La Salle University,725.65,683.8,40.0390581,-75.1558071
Lafayette College,632.65,611.6,40.6983134,-75.209746
Lehigh University,710.85,722.15,40.6048687,-75.3775187
Liberty University,762.95,762.95,37.3530446,-79.1769529
Long Island University,675.2,675.2,40.691145,-73.9805528
Louisiana State University,792.9,799.6,30.4132579,-91.1800023
University of Louisville,869.45,869.6,38.2122761,-85.7585023
Loyola University Maryland,710.4,695.6,39.3463882,-76.6210078
Loyola Marymount University,623.95,623.95,33.9701634,-118.4166111
University of Maine,621.8,669.75,44.8955674,-68.6735534
Manhattan College,635.65,551.75,40.8900515,-73.9011239
Marist College,701.65,648.8,41.7225348,-73.9326626
Marshall University,728.3,728.3,38.4235252,-82.4264145
University of Massachusetts Amherst,708.1,704.75,42.3867598,-72.5300515
University of Miami,744.8,744.8,25.7178924,-80.2746368
Miami University,771.15,775.75,39.5087485,-84.7344915
University of Michigan,886.25,905.45,42.2780436,-83.7382241
Michigan State University,755.4,717.25,42.701848,-84.4821719
University of Minnesota,824.3,838.7,44.97399,-93.2277285
University of Missouri,875.85,840.75,38.9403808,-92.3277375
Missouri State University,791.15,734.45,37.2005546,-93.2806806
Monmouth University,647.5,615.2,40.2802758,-74.0054114
Mount St. Mary's University,616.7,596.6,39.6799914,-77.3486971
University of Nebraska–Lincoln,775.65,775.65,40.8201966,-96.7004763
University of Nebraska Omaha,673.95,673.95,41.2580268,-96.010696
"University of Nevada, Las Vegas",752.15,736.95,36.1085197,-115.1431709
"University of Nevada, Reno",776.65,776.65,39.5453298,-119.8161541
University of New Hampshire,701.65,701.65,43.138948,-70.9370252
New Jersey Institute of Technology,651.1,651.1,40.7427996,-74.1770884
University of New Mexico,754.8,754.8,35.0843187,-106.6197812
New Mexico State University,721.9,721.9,32.2787745,-106.7479059
Niagara University,656.3,611.7,43.1369816,-79.0349955
University of North Carolina at Asheville,675.3,675.3,35.6164875,-82.5665082
University of North Carolina at Chapel Hill,786.7,821.2,35.9049122,-79.0469134
North Carolina State University,900.25,873.95,35.7846633,-78.6820946
University of North Carolina at Wilmington,731.7,712.4,34.223874,-77.8696036
University of North Florida,663.1,663.1,30.2661204,-81.5072314
University of North Texas,728.5,728.5,33.207488,-97.1525862
Northeastern University,722.6,722.6,42.3398067,-71.0891717
Northern Arizona University,740.8,740.8,35.1804402,-111.6539683
University of Northern Colorado,741,741,40.4032798,-104.7002313
University of Northern Iowa,723.65,723.65,42.5121517,-92.4646469
Northwestern University,780.45,800.55,42.0564594,-87.675267
University of Notre Dame,835.1,828.55,41.7055716,-86.2353388
Oakland University,757.25,734.65,42.6679486,-83.2081632
Ohio University,757.65,757.65,39.324358,-82.1013889
The Ohio State University,858.1,839.1,40.0066723,-83.0304546
Old Dominion University,702.85,686.65,36.8858594,-76.3057051
University of the Pacific,750.5,725.1,37.9798869,-121.3128577
University of Pennsylvania,812.5,751.75,39.9522188,-75.1932137
Pennsylvania State University,800.15,785.85,40.7982133,-77.8599084
Pepperdine University,648.8,648.8,34.0414045,-118.7095814
University of Pittsburgh,816.55,774.3,40.4443533,-79.960835
Princeton University,807.9,756.45,40.3430942,-74.6550739
Providence College,656.3,634.8,41.8438703,-71.4349215
Purdue University,817.05,786.3,40.4237054,-86.9211946
University of Rhode Island,658.55,658.55,41.4860647,-71.5308537
Rice University,781.8,781.8,29.7173941,-95.4018312
University of Richmond,728.15,728.15,37.5751669,-77.5407146
Rider University,730.7,642.8,40.2788009,-74.7379884
Rutgers University,760.5,760.5,40.5008186,-74.4473991
Sacred Heart University,638.8,638.8,41.2204654,-73.2431786
St. Bonaventure University,713.05,677.75,42.0794875,-78.4842703
St. Francis College,592.8,643.1,40.6932296,-73.9921646
Saint Francis University,670.8,670.8,40.50382,-78.6376191
Saint Louis University,711.5,684,38.6346955,-90.2340587
Saint Peter's University,647.75,483.14,40.7272231,-74.0715029
University of San Diego,720.5,720.5,32.7719191,-117.188213
San Diego State University,790.85,790.85,32.7759894,-117.0712533
San Jose State University,723.45,723.45,37.3351874,-121.8810715
Seattle University,690.6,643.85,47.6091765,-122.3178465
Seton Hall University,714.15,687.5,40.7433773,-74.2465446
Siena College,599.7,599.7,42.716635,-73.7523365
University of South Carolina,834.35,820.7,33.9937575,-81.0299186
University of South Dakota,694,681,42.7883015,-96.9253381
South Dakota State University,670.45,652.85,44.3219388,-96.7837411
University of Southern California,847.35,872.85,34.0223519,-118.285117
Southern Illinois University Carbondale,723.45,711,37.7079717,-89.2229983
Southern Methodist University,752.3,771.7,32.8412178,-96.7845175
Stanford University,869.95,918.85,37.4274745,-122.169719
Stony Brook University,596.7,596.7,40.9123761,-73.1233889
University of Tennessee,863.1,886.9,35.9544013,-83.9294564
Texas A&M University,864.85,868.6,30.6187558,-96.3364772
University of Texas at Austin,923.15,871.55,30.2849185,-97.7340567
Texas Christian University,750.5,737.7,32.7095936,-97.3635602
University of Toledo,711.15,711.15,41.6578804,-83.6142374
Towson University,738.3,734.3,39.3925121,-76.6126392
Tulane University,754.5,754.5,29.9407282,-90.1203167
United States Air Force Academy,758.4,705.55,38.9983094,-104.8613176
United States Military Academy,790.75,739.95,41.3918372,-73.9625033
United States Naval Academy,799.95,789.6,38.9820658,-76.4839405
University of Utah,836.9,794.95,40.7649368,-111.8421021
Valparaiso University,616.15,585.7,41.4639394,-87.0438893
Vanderbilt University,720,720,36.1447034,-86.8026551
University of Vermont,666.65,666.65,44.4778528,-73.1964637
Villanova University,704.8,758,40.0378952,-75.3433315
University of Virginia,868.85,862.7,38.0335529,-78.5079772
Virginia Military Institute,627,506.6,37.79151,-79.435352
Virginia Tech[A 52],841.45,794.9,37.2283843,-80.4234167
Wagner College,670.45,670.45,40.6149557,-74.0943823
Washington State University,754.85,754.85,46.7319225,-117.1542121
West Virginia University,783.55,754.7,39.6480359,-79.9697147
Western Illinois University,663.3,620.2,40.4766148,-90.6843599
College of William & Mary,774.55,739.8,37.2710803,-76.7162891
University of Wisconsin–Green Bay,716.8,677.05,44.531177,-87.9210686
University of Wisconsin–Madison,814.85,843.1,43.076592,-89.4124875
University of Wisconsin–Milwaukee,692.1,694.4,43.078263,-87.8819686
University of Wyoming,747.4,746.15,41.3148754,-105.5665744
Xavier University,720.15,723.6,29.9641088,-90.107647
Yale University,790.95,802.65,41.3163244,-72.9223431
Youngstown State University,652.95,652.95,41.1066413,-80.6480952
